sentence,lang,ARG0,ARG1,ARG2,neg,time
what is the daily price of johnson and johnson stock,en-US,0,1,1,0,0
how much money did bill gates make,en-US,1,1,0,0,0
google who was the last president who didn't own a dog,en-US,1,1,1,0,0
can you find and tell me the prices of facebook stock,en-US,1,1,1,0,0
what is the highest mountain range in the us,en-US,0,1,1,0,0
how old is rod stewart,en-US,0,0,0,0,0
list top five movies of emma watson,en-US,1,1,1,0,0
how big is ohio,en-US,0,1,1,0,0
how tall is mount everest,en-US,0,1,1,0,0
what is the exchange rate of us dollar today for rupee,en-US,0,1,1,0,1
tell me the current price of exxon mobil stock,en-US,1,1,1,0,1
open stock price for name,en-US,0,1,0,0,1
were the stocks rising or declining,en-US,0,1,0,0,0
how old are cristiano ronaldo,en-US,0,0,0,0,0
who is barack obama,en-US,0,0,0,0,0
f. flat stocks,en-US,0,0,0,0,0
how old is ellen,en-US,0,0,0,0,0
what is one plus one,en-US,0,1,1,0,0
how is the stock going in general,en-US,0,1,0,0,0
who is donald trump,en-US,0,0,0,0,0
from dollar to euro,en-US,0,1,1,0,0
where is pategonia,en-US,0,1,1,0,0
how many ounces is in a quart,en-US,0,1,1,0,0
how much is the us dollar worth in canada,en-US,0,1,1,0,0
area of north america,en-US,0,0,0,0,0
what is the exchange rate between us and mexico,en-US,0,1,1,0,0
what is the value of apple,en-US,0,1,1,0,0
sum of five and two,en-US,0,1,1,0,0
calculate two multiplied by two,en-US,0,1,1,0,0
what do pink ribbons support,en-US,1,1,0,0,0
honda stock price,en-US,0,1,1,0,0
what's the exchange rates between u. s. a. and china,en-US,0,1,1,0,0
which part of antarctica belongs to the us,en-US,1,1,0,0,0
what is the largest continent in the world,en-US,0,1,1,0,0
what is six times sixty eight,en-US,0,1,1,0,0
what is the capital city of colorado,en-US,1,1,1,0,0
how do you solve three two,en-US,0,1,1,0,0
is ll cool j. still rapping,en-US,1,0,0,1,0
rowan atkinson info,en-US,0,0,0,0,0
when was justin bieber born,en-US,0,1,0,0,1
where was keith urban born,en-US,0,1,0,0,0
what currency does croatia use,en-US,0,1,0,0,0
please check this companies stock,en-US,1,1,0,0,0
can you take five and divide it by three,en-US,0,1,1,0,0
where do cows come from,en-US,0,1,1,0,0
what is the increase in stock value over the past week of disney,en-US,0,1,1,0,1
what is the price of apple stock today,en-US,0,1,1,0,1
what is arnold schwarzenegger's birthday,en-US,0,1,0,0,1
is yellowstone park the largest park,en-US,0,1,1,1,0
is the stocks which i have invested are increasing,en-US,1,1,1,1,0
someone,en-US,0,0,0,0,0
when was dolly parton born,en-US,0,1,0,0,1
where is fiji,en-US,0,1,1,0,0
how old was albert einstein when he came up with relativity theory,en-US,1,1,1,0,1
which is the highest peak in the world,en-US,0,1,1,0,0
find stock price for name,en-US,0,1,1,0,0
find details about president barrack obama,en-US,1,1,1,0,0
how is the spouse of obama,en-US,1,1,1,0,0
how many g. b. p. can i get for one dollar,en-US,0,1,1,0,0
how far is canada from my current location,en-US,0,1,1,0,1
what's the capital of kazakhstan,en-US,1,1,1,0,0
keanu reeves date of birth,en-US,0,1,0,0,1
does spain share its border with morrocco,en-US,0,1,1,1,0
ok google where does sophia vergara live,en-US,1,0,0,0,0
how big is england,en-US,0,1,1,0,0
what does two plus two equal,en-US,0,1,1,0,0
when will tesla come to my town,en-US,0,1,0,0,1
denmark geographic location,en-US,0,1,1,0,0
how much is the dollar worth compared to the euro,en-US,0,1,1,0,0
how much would it cost to buy a share of target,en-US,0,1,1,0,0
can you convert my this money into,en-US,0,1,0,1,0
what is us dollar today,en-US,0,1,1,0,1
tell me the answer for two plus two,en-US,0,1,1,0,0
how much is lebron james worth,en-US,0,1,1,0,0
how old is tom cruise,en-US,0,0,0,0,0
where is mount rushmore located,en-US,0,1,1,0,0
please check the recent trend in stocks,en-US,1,1,1,0,1
beach,en-US,0,0,0,0,0
what are pounds worth right now,en-US,0,1,1,0,1
how does the dollar compare to the pound,en-US,0,1,1,0,0
actor who acts a role,en-US,1,1,0,0,0
what's the us dollar rate today,en-US,0,1,1,0,1
identify object,en-US,1,1,0,0,0
did kim kardashian go to the paris fashion shows this year,en-US,1,1,0,1,1
what currency does england use,en-US,0,1,0,0,0
how many canadian dollars are in a u. s. dollar,en-US,0,1,1,0,0
list exchange rate information for the day for u. s. d. to jpy,en-US,0,1,1,0,1
what year did robin williams pass away,en-US,0,1,0,0,1
tell me tom hanks middle name,en-US,1,1,1,0,0
what year did tim burton divorce helena,en-US,1,1,0,0,1
convert one us dollar to euro,en-US,1,1,1,0,0
what is the tallest mountain,en-US,0,1,1,0,0
does pink have a new baby,en-US,1,1,1,1,0
where is new zealand located on a map,en-US,0,1,1,0,0
four divided by two equals two,en-US,0,1,0,0,0
olly how old is tom cruise,en-US,0,0,0,0,0
check currencies,en-US,1,1,0,0,0
where is india located,en-US,0,1,1,0,0
how many number of fans does that person have approximately,en-US,1,1,1,0,0
can you add up thirteen plus five plus nine for me,en-US,0,1,1,0,0
money exchange,en-US,1,1,0,0,0
i need the exchange rate for the us dollar and the euro,en-US,0,1,1,0,0
how many rivers are there in the world,en-US,0,1,1,0,0
which ocean touches at our continent,en-US,0,1,1,0,0
give me the birth details of abraham lincoln,en-US,1,1,0,0,0
what is the current exchange rate between the dollar and the euro,en-US,0,1,1,0,1
give me the opening stock price of infosys technologies today,en-US,0,1,1,0,1
tell me why relationships are so hard,en-US,1,1,1,0,0
where is south asia located,en-US,0,1,1,0,0
how much rate will be calculated,en-US,0,1,0,0,0
what year was bill pullman born,en-US,0,1,0,0,1
please find out the share price of microsoft in nasdaq,en-US,1,1,1,0,0
how effective will be to buy nike stock,en-US,1,1,0,0,0
bypass certain passwords,en-US,1,1,0,0,0
where is george w. bush from,en-US,0,1,1,0,0
what is the exchange rate between us and france,en-US,0,1,1,0,0
how many inches are in a foot,en-US,0,1,1,0,0
when did the statue of liberty made,en-US,0,1,0,0,1
what is the stock price of hdfc,en-US,0,1,1,0,0
how much is the euro versus the canadian dollar,en-US,0,1,1,0,0
define word,en-US,1,1,0,0,0
for how many years did mahatma gandhi live,en-US,1,0,0,0,0
how long will it take to travel to japan from south korea,en-US,0,1,1,0,0
where is the coldest place in the world,en-US,0,1,1,0,0
what are the coordinates of the equator,en-US,0,1,1,0,0
where does brad pitt live,en-US,1,0,0,0,0
how many miles is it between illinois and louisiana alexa,en-US,0,1,1,0,0
what's that object about,en-US,0,0,0,0,0
current stock price intel,en-US,0,1,1,0,1
one plus two equal,en-US,0,1,1,0,0
what is the exchange rate between u. s. d. and inr,en-US,0,1,1,0,0
how many miles in five kilometers,en-US,0,1,1,0,0
what is the highest mountain in asia,en-US,0,1,1,0,0
how do i check my currency exchange rate,en-US,1,1,1,0,0
tell me amd stock prices,en-US,1,1,1,0,0
new exchange rate,en-US,0,1,0,0,0
how far in steps is home from here,en-US,0,1,1,0,0
how many centimeter make one foot,en-US,0,1,1,0,0
who is the prime minister of russia,en-US,1,1,1,0,0
olly what is the capital of california,en-US,1,1,1,0,0
what are the measurements of a queen mattress,en-US,0,1,0,0,0
where is johncena from,en-US,0,1,1,0,0
give me the opening stock price of sony,en-US,1,1,1,0,1
where is north dakota,en-US,0,1,1,0,0
is mount everest the tallest mountain in the united states,en-US,0,1,1,1,0
can many seashells did sally sell by the seashore,en-US,1,1,1,0,0
look up someone,en-US,1,1,0,0,0
list the celebrities who have been in my country in the last five years,en-US,0,1,1,0,1
divide one thousand five hundred by one hundred and sixty,en-US,0,1,1,0,0
what is the height of mount everest,en-US,0,1,0,0,0
awards won by michael jackson,en-US,1,1,1,0,0
what is eighty seven minus fourteen,en-US,0,1,1,0,0
what is the exchange rates in this region,en-US,0,1,1,0,0
please solve this math,en-US,0,1,1,0,0
what is this thing,en-US,0,0,0,0,0
tell me about india location,en-US,0,1,0,0,0
set notification for news on the stock market,en-US,1,1,1,0,0
please tell me what is the rate for yen to u. s. d.,en-US,1,1,1,0,0
find me the perfect girlfriend,en-US,1,1,1,0,0
what is the birthday of adam gilchrist,en-US,0,1,0,0,1
what is the highest mountain in the world,en-US,0,1,1,0,0
where is denmark,en-US,0,1,1,0,0
what's the currency exchange rate for china,en-US,0,1,1,0,0
what is the exchange rate between the us and canada,en-US,0,1,1,0,0
tell me about amazon's history,en-US,1,1,1,0,0
is kim kardashian married,en-US,0,1,0,1,0
given me the exchange rates between u. s. d. and inr,en-US,0,1,1,0,0
which was longest buildings in the world,en-US,0,1,1,0,0
what is price of dollar,en-US,0,1,1,0,0
when does iphone stock usually drop,en-US,0,1,1,0,0
tell me about george washington,en-US,1,1,1,0,0
explain the exchange rate of rupee for dollar,en-US,1,1,1,0,0
who won the presidential election this year,en-US,0,1,1,0,1
olly can you tell me the price of google stock,en-US,0,1,1,0,0
find exchange rate for u. s. d. to pound,en-US,1,1,1,0,0
what is the exchange rate between the british pound and the u. s. dollar,en-US,0,1,1,0,0
math courses,en-US,0,0,0,0,0
you should know about,en-US,1,1,0,0,0
where is laos located,en-US,0,1,1,0,0
i want to learn about donald trump,en-US,1,1,0,0,0
who is the wife of obama,en-US,1,1,1,0,0
what is the exchange rate for u. s. d. to nzd,en-US,0,1,1,0,0
tell me who will win the next presidential election,en-US,1,1,1,0,0
please define word,en-US,1,1,0,0,0
